,concept:name,org:resource,time:timestamp,Activity,case:concept:name
2466,Refactor,(f281fb473d499d8805fb29d7dd13ec9ef6b10c41),2023-06-25,Refactor,#23112
2467,Refactor,(3f4e4a4d891e3c4b73ab80aedec46e69c1b59f0d),2023-07-13,Refactor,#23112
2468,Refactor,(9135e3f7d3fd0d634656f1c54c70a0ba1f878bfd),2023-07-20,Refactor,#23112
2469,Refactor,(bed26734a28175f7ef9669d5190bf7ebc6227223),2023-08-01,Refactor,#23112
2470,BugFix,(d69ce775032bc254bf3da67088ebdfcaad0612b5),2023-08-21,BugFix,#23112
2471,Refactor,(bd872a7a98528da6e1fab95382488ce703fe24c1),2023-11-24,Refactor,#23112
2472,Refactor,(75da3555ee0910f3d572f4b8176afecdc941524b),2023-12-14,Refactor,#23112
2473,Refactor,(67d7562609986fae14d80036ad1e7a7f3aaa49d0),2023-12-20,Refactor,#23112
2474,Refactor,(15f26b402123d087f62728e1f1763a2b96f8d21d),2023-12-27,Refactor,#23112
2475,BugFix,(5fea79fd07e5d874fbd217d8d9e8afceec60ef9e),2024-01-23,BugFix,#23112
2476,Refactor,(982b42579243543a8684f571554da0ce3137db96),2024-02-27,Refactor,#23112
2477,Refactor,(466282f322ae4f42a8f3db5e3c9765c38445fdc8),2024-03-31,Refactor,#23112
2478,Refactor,(1da947f54806437fdff84adfdc06f48d2e3d60a3),2024-05-09,Refactor,#23112
2479,BugFix,(2fc86ad836b20570280f805396d05d4d636e4157),2024-06-15,BugFix,#23112
2480,Refactor,(c95825a0ff58e8b9f8cced4a93431c4b70f89a86),2024-06-29,Refactor,#23112
2481,BugFix,(b8ab2d4987acb6de816840939d3fcf22315e8458),2024-07-13,BugFix,#23112
2482,Refactor,(f0bc4274f817166fcce82949d94330bd1c441c15),2024-07-15,Refactor,#23112
2483,NewFeature,(6ac0d4727cd4abe70002c32faf3d87c7e24bfad3),2021-11-21,NewFeature,#23130
2484,Refactor,(1bab0243fd598c030ddba1d87109db1498cdec41),2022-07-11,Refactor,#23130
2485,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#23130
2486,Refactor,(49134a9467f79037cc6ea643b8ac9634e5f7eb36),2023-06-02,Refactor,#23130
2487,Comment,(929497d52762f87243d1b521d9703f75b7501aa4),2023-07-04,Comment,#23130
2488,Refactor,(b58d5dabf8939658334db3e0d98c03b1b934df7c),2023-10-08,Refactor,#23130
2489,Refactor,(bd872a7a98528da6e1fab95382488ce703fe24c1),2023-11-24,Refactor,#23130
2490,Refactor,(4a9e102c2ef96b75378195ad3b89cb1646ac4df4),2024-01-03,Refactor,#23130
2491,Comment,(aa7d5714867df05348ca63ad113ea9cf7ccc3271),2024-01-22,Comment,#23130
2492,Refactor,(a2f024ffe3e9929526404fe0f271df9d16023458),2024-04-28,Refactor,#23130
2493,NewFeature,(e5154ec28179c7dc7b58a830412e7cb09c2f878c),2021-11-23,NewFeature,#23163
2494,BugFix,(5f4ec825448cd5c9a7a03d3292b3d4a74377bba2),2022-05-08,BugFix,#23163
2495,Refactor,(b06e378703d9046b01c24d73bfb647b08517a91f),2022-06-22,Refactor,#23163
2496,Refactor,(7717beb79362522b8239d5af62b32ff3d0e2d748),2023-01-11,Refactor,#23163
2497,Refactor,(f595878b5b12ba87c88e43160b3434e76c782998),2023-02-08,Refactor,#23163
2498,Refactor,(babd3b0037d660f52cccbb295b8839b8dd744036),2023-02-21,Refactor,#23163
2499,Refactor,(aa8afe90b023b0ef1c4bc766566e81b894f66885),2023-03-15,Refactor,#23163
2500,Refactor,(de7726ca019461d029f9fe2a14a85b8ecf8723fe),2023-04-19,Refactor,#23163
2501,BugFix,(f8570257f9595cd2c444a66325aefd8396c178f6),2023-05-05,BugFix,#23163
2502,Refactor,(664b35b77c0ddf9562de6e74dd253f5bb33ce6b0),2023-05-05,Refactor,#23163
2503,Formatting,(1f9bfc5c7491d802d242623f8253b1f52c0917a3),2023-05-10,Formatting,#23163
2504,Refactor,(25ddde0394361c23194c0f4a8f9777d389040af3),2023-05-15,Refactor,#23163
2505,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#23163
2506,Refactor,(bed26734a28175f7ef9669d5190bf7ebc6227223),2023-08-01,Refactor,#23163
2507,Refactor,(fef74398e41a1b492792837941af55057eb694f5),2023-12-13,Refactor,#23163
2508,BugFix,(89fdfcfaf9df44b0782d3ef900aa28531d777058),2023-12-24,BugFix,#23163
2509,Refactor,(1da947f54806437fdff84adfdc06f48d2e3d60a3),2024-05-09,Refactor,#23163
2510,Refactor,(f0bc4274f817166fcce82949d94330bd1c441c15),2024-07-15,Refactor,#23163
2511,NewFeature,(7daa76382f858817ea7b52d11f9fae88d252988d),2021-12-05,NewFeature,#23172
2512,NewFeature,(363a17ac464e72bb013150e742b0e95f9df707eb),2021-12-04,NewFeature,#23184
2513,Enhancement,(81a6834876cf30b73e38683ec12603a11f45a4c1),2022-05-05,Enhancement,#23184
2514,Refactor,(f5488f96cc6dddb0f3c6034982de75849cc5461d),2022-06-29,Refactor,#23184
2515,Refactor,(9a7d9e6995f4f66c4b48147ec7876d49d4b3ae77),2023-04-27,Refactor,#23184
2516,Refactor,(79b0f3158556933699cab4c5ed4e8e798b4ef4d8),2023-05-11,Refactor,#23184
2517,NewFeature,(d557db842598639f4ab49447e216557515b3ba9e),2021-12-27,NewFeature,#23192
2518,Refactor,(5979aab1c7cf96d91b89775ae988e59e3ff40106),2022-07-06,Refactor,#23192
2519,Refactor,(83320f1052dd09bff7aae789372e7bffccbced97),2022-08-06,Refactor,#23192
2520,Refactor,(0c0ed150660543df84e8acdcd46de5e316c19f05),2022-12-31,Refactor,#23192
2521,Refactor,(88da531e5d873c342a4a6625d9cb57adb2644cce),2023-03-18,Refactor,#23192
2522,Refactor,(2691167afe02fbbe74b0fdca2c28a49fac635741),2023-06-02,Refactor,#23192
2523,Refactor,(204de723f1c08f83e281f0629b60822b334097ed),2024-01-21,Refactor,#23192
2524,NewFeature,(a16a059312b0ddb822da2769b5ba5372f9857c48),2021-12-07,NewFeature,#23238
2525,Refactor,(cc87695ae716df12002c89cc015ffe01ee43a4cd),2022-01-16,Refactor,#23238
2526,BugFix,(aae08e9b0d7338d0f2c3ee04469165b9a087c161),2022-02-15,BugFix,#23238
2527,Refactor,(98a17cd60dc51f1b22b88101b526fd7f1b3f8787),2022-02-15,Refactor,#23238
2528,Refactor,(2e39bc30fd748b0ade7aafdab4827f942536cdcd),2022-03-02,Refactor,#23238
2529,Refactor,(687dc9ad4d89212ec4da8983e71b8772c03a1619),2022-03-04,Refactor,#23238
